WT-IF2_1,WT-IF2_2,WT-IF2_3,WT-IF2_4,WT-IF2_5,dN-IF2_1,dN-IF2_2,dN-IF2_3,dN-IF2_4,dN-IF2_5,dG1-IF2_1,dG1-IF2_2,dG1-IF2_3,dG1-IF2_4,dG1-IF2_5,time
0.155,0.156,0.16,0.182,0.141,0.168,0.151,0.155,0.166,0.185,0.161,0.13,0.135,0.14,0.139,0
0.158,0.146,0.156,0.176,0.139,0.161,0.158,0.167,0.172,0.182,0.163,0.133,0.132,0.14,0.136,15
0.161,0.145,0.161,0.178,0.142,0.165,0.167,0.171,0.173,0.181,0.159,0.135,0.134,0.141,0.138,30
0.168,0.151,0.168,0.185,0.148,0.167,0.162,0.172,0.172,0.18,0.157,0.147,0.135,0.142,0.138,45
0.185,0.166,0.188,0.204,0.166,0.168,0.163,0.173,0.175,0.18,0.163,0.151,0.138,0.143,0.141,60
0.219,0.197,0.223,0.237,0.196,0.17,0.164,0.174,0.174,0.181,0.164,0.15,0.14,0.144,0.145,75
0.265,0.24,0.261,0.274,0.233,0.171,0.165,0.175,0.176,0.179,0.165,0.149,0.141,0.145,0.143,90
0.297,0.275,0.3,0.314,0.271,0.173,0.166,0.176,0.176,0.181,0.169,0.155,0.144,0.149,0.148,105
0.353,0.329,0.354,0.362,0.325,0.176,0.169,0.175,0.177,0.181,0.172,0.159,0.147,0.154,0.146,120
0.421,0.403,0.417,0.421,0.386,0.177,0.17,0.18,0.179,0.181,0.178,0.161,0.15,0.161,0.151,135
0.492,0.475,0.469,0.475,0.438,0.179,0.173,0.178,0.181,0.183,0.178,0.157,0.154,0.167,0.158,150
0.555,0.547,0.515,0.525,0.48,0.186,0.175,0.182,0.183,0.188,0.181,0.162,0.157,0.169,0.161,165
0.599,0.618,0.597,0.607,0.563,0.193,0.181,0.185,0.187,0.19,0.19,0.171,0.164,0.174,0.17,180
0.645,0.674,0.641,0.651,0.611,0.2,0.188,0.189,0.192,0.195,0.197,0.179,0.174,0.182,0.175,195
0.707,0.7,0.664,0.692,0.64,0.205,0.192,0.197,0.198,0.203,0.203,0.19,0.182,0.194,0.185,210
0.689,0.727,0.684,0.714,0.658,0.211,0.2,0.206,0.204,0.212,0.211,0.195,0.194,0.199,0.19,225
0.711,0.749,0.714,0.742,0.687,0.215,0.21,0.215,0.212,0.217,0.225,0.211,0.207,0.215,0.2,240
0.751,0.758,0.714,0.747,0.681,0.224,0.218,0.222,0.221,0.227,0.238,0.223,0.22,0.226,0.218,255
0.728,0.758,0.739,0.778,0.712,0.235,0.234,0.231,0.232,0.232,0.25,0.238,0.24,0.244,0.231,270
0.777,0.792,0.753,0.785,0.715,0.249,0.25,0.245,0.255,0.245,0.26,0.254,0.245,0.26,0.245,285
0.775,0.794,0.766,0.797,0.723,0.263,0.258,0.255,0.256,0.25,0.275,0.27,0.269,0.278,0.261,300
0.785,0.794,0.769,0.806,0.731,0.293,0.28,0.266,0.269,0.269,0.293,0.287,0.285,0.294,0.281,315
0.798,0.815,0.789,0.818,0.731,0.314,0.302,0.286,0.289,0.29,0.313,0.308,0.309,0.319,0.297,330
0.788,0.802,0.785,0.815,0.738,0.334,0.331,0.306,0.317,0.307,0.336,0.329,0.331,0.345,0.325,345
0.828,0.843,0.819,0.843,0.759,0.377,0.37,0.349,0.35,0.346,0.361,0.363,0.364,0.372,0.345,360
